Issue,reason,
https://github.com/dotnet/runtime/issues/84555,test failure,
https://github.com/dotnet/runtime/issues/84412,enhancement,
https://github.com/dotnet/runtime/issues/84233,question,
https://github.com/dotnet/runtime/issues/84025,enhancement,
https://github.com/dotnet/runtime/issues/83792,test failure,
https://github.com/dotnet/runtime/issues/83543,enhancement,
https://github.com/dotnet/runtime/issues/83201,enhancement,
https://github.com/dotnet/runtime/issues/83015,test failure,
https://github.com/dotnet/runtime/issues/82496,build issue,
https://github.com/dotnet/runtime/issues/81165,performance issue,
https://github.com/dotnet/runtime/issues/79973,performance issue,
https://github.com/dotnet/runtime/issues/78502,enhancement,
https://github.com/dotnet/runtime/issues/77191,enhancement,
https://github.com/dotnet/runtime/issues/76929,bug,
https://github.com/dotnet/runtime/issues/75420,enhancement,
https://github.com/dotnet/runtime/issues/4123,memory error,
https://github.com/dotnet/runtime/issues/35213,performance issue,
https://github.com/dotnet/runtime/issues/84884,bug,
https://github.com/dotnet/runtime/issues/84576,bug,
https://github.com/dotnet/runtime/issues/84462,test failure,
https://github.com/dotnet/runtime/issues/60015,runtime error,
https://github.com/dotnet/runtime/issues/67032,test failure,
https://github.com/dotnet/runtime/issues/59972,build issue,
https://github.com/dotnet/runtime/issues/52761,question,
https://github.com/dotnet/runtime/issues/46073,test failure,
https://github.com/dotnet/runtime/issues/39617,test failure,
https://github.com/dotnet/runtime/issues/32882,test failure,
https://github.com/dotnet/runtime/issues/30836,bug,
https://github.com/dotnet/runtime/issues/29215,question,
https://github.com/dotnet/runtime/issues/11363,test failure,
https://github.com/dotnet/runtime/issues/26211,question,
https://github.com/dotnet/runtime/issues/24539,test failure,
https://github.com/dotnet/runtime/issues/22892,question,
https://github.com/dotnet/runtime/issues/7897,performance issue,
https://github.com/dotnet/runtime/issues/7057,documentation,
https://github.com/dotnet/runtime/issues/17788,test failure,
https://github.com/dotnet/runtime/issues/16387,memory error,
https://github.com/dotnet/runtime/issues/14659,test failure,
https://github.com/dotnet/runtime/issues/13856,test failure,
https://github.com/dotnet/runtime/issues/84626,bug,
https://github.com/dotnet/runtime/issues/84198,bug,
https://github.com/dotnet/runtime/issues/82835,question,
https://github.com/dotnet/runtime/issues/81824,test failure,
https://github.com/dotnet/runtime/issues/81622,other,
https://github.com/dotnet/runtime/issues/72565,runtime error,
https://github.com/dotnet/runtime/issues/65217,build issue,
https://github.com/dotnet/runtime/issues/57887,enhancement,
